




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
negative regulation of cilium assembly (GO:1902018)	14	2	.10	+	19.61	5.83E-03	1.00E00
regulation of Rab protein signal transduction (GO:0032483)	7	1	.05	+	19.61	5.64E-02	1.00E00
response to hydrostatic pressure (GO:0051599)	7	1	.05	+	19.61	5.64E-02	1.00E00
corticosteroid receptor signaling pathway (GO:0031958)	7	1	.05	+	19.61	5.64E-02	1.00E00
negative regulation of molecular function in other organism (GO:0044362)	7	1	.05	+	19.61	5.64E-02	1.00E00
macropinocytosis (GO:0044351)	7	1	.05	+	19.61	5.64E-02	1.00E00
transposition (GO:0032196)	7	1	.05	+	19.61	5.64E-02	1.00E00
axial mesoderm development (GO:0048318)	7	1	.05	+	19.61	5.64E-02	1.00E00
negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	7	1	.05	+	19.61	5.64E-02	1.00E00
hematopoietic stem cell migration (GO:0035701)	7	1	.05	+	19.61	5.64E-02	1.00E00
positive regulation of amyloid-beta clearance (GO:1900223)	7	1	.05	+	19.61	5.64E-02	1.00E00
post-embryonic camera-type eye development (GO:0031077)	7	1	.05	+	19.61	5.64E-02	1.00E00
positive regulation of xenophagy (GO:1904417)	7	1	.05	+	19.61	5.64E-02	1.00E00
regulation of xenophagy (GO:1904415)	7	1	.05	+	19.61	5.64E-02	1.00E00
peroxisome proliferator activated receptor signaling pathway (GO:0035357)	7	1	.05	+	19.61	5.64E-02	1.00E00
Notch receptor processing, ligand-dependent (GO:0035333)	7	1	.05	+	19.61	5.64E-02	1.00E00
synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0016185)	7	1	.05	+	19.61	5.64E-02	1.00E00
non-lytic viral release (GO:0046753)	7	1	.05	+	19.61	5.64E-02	1.00E00
regulation of membrane tubulation (GO:1903525)	7	1	.05	+	19.61	5.64E-02	1.00E00
dolichyl diphosphate metabolic process (GO:0046465)	7	1	.05	+	19.61	5.64E-02	1.00E00
commitment of neuronal cell to specific neuron type in forebrain (GO:0021902)	7	1	.05	+	19.61	5.64E-02	1.00E00
mesenchymal-epithelial cell signaling (GO:0060638)	7	1	.05	+	19.61	5.64E-02	1.00E00
glycerol catabolic process (GO:0019563)	7	1	.05	+	19.61	5.64E-02	1.00E00
alditol catabolic process (GO:0019405)	8	1	.06	+	17.16	6.32E-02	1.00E00
aldehyde biosynthetic process (GO:0046184)	8	1	.06	+	17.16	6.32E-02	1.00E00
germinal center formation (GO:0002467)	8	1	.06	+	17.16	6.32E-02	1.00E00
positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	16	2	.12	+	17.16	7.36E-03	1.00E00
plasma membrane raft organization (GO:0044857)	8	1	.06	+	17.16	6.32E-02	1.00E00
glutamate catabolic process (GO:0006538)	8	1	.06	+	17.16	6.32E-02	1.00E00
store-operated calcium entry (GO:0002115)	8	1	.06	+	17.16	6.32E-02	1.00E00
positive regulation of apoptotic cell clearance (GO:2000427)	8	1	.06	+	17.16	6.32E-02	1.00E00
columnar/cuboidal epithelial cell maturation (GO:0002069)	8	1	.06	+	17.16	6.32E-02	1.00E00
positive regulation of myoblast proliferation (GO:2000288)	8	1	.06	+	17.16	6.32E-02	1.00E00
neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	8	1	.06	+	17.16	6.32E-02	1.00E00
regulation of oligodendrocyte progenitor proliferation (GO:0070445)	8	1	.06	+	17.16	6.32E-02	1.00E00
protein desumoylation (GO:0016926)	8	1	.06	+	17.16	6.32E-02	1.00E00
response to isolation stress (GO:0035900)	8	1	.06	+	17.16	6.32E-02	1.00E00
regulation of skeletal muscle tissue regeneration (GO:0043416)	8	1	.06	+	17.16	6.32E-02	1.00E00
amyloid precursor protein catabolic process (GO:0042987)	16	2	.12	+	17.16	7.36E-03	1.00E00
midbrain-hindbrain boundary development (GO:0030917)	8	1	.06	+	17.16	6.32E-02	1.00E00
otic vesicle formation (GO:0030916)	8	1	.06	+	17.16	6.32E-02	1.00E00
amyloid-beta clearance by cellular catabolic process (GO:0150094)	8	1	.06	+	17.16	6.32E-02	1.00E00
viral mRNA export from host cell nucleus (GO:0046784)	8	1	.06	+	17.16	6.32E-02	1.00E00
positive regulation of neuron projection arborization (GO:0150012)	8	1	.06	+	17.16	6.32E-02	1.00E00
polyprenol metabolic process (GO:0016093)	8	1	.06	+	17.16	6.32E-02	1.00E00
inhibition of cysteine-type endopeptidase activity (GO:0097340)	8	1	.06	+	17.16	6.32E-02	1.00E00
mammalian oogenesis stage (GO:0022605)	8	1	.06	+	17.16	6.32E-02	1.00E00
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)	8	1	.06	+	17.16	6.32E-02	1.00E00
dynamin family protein polymerization involved in membrane fission (GO:0003373)	8	1	.06	+	17.16	6.32E-02	1.00E00
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	8	1	.06	+	17.16	6.32E-02	1.00E00
neuroendocrine cell differentiation (GO:0061101)	8	1	.06	+	17.16	6.32E-02	1.00E00
forebrain neuron fate commitment (GO:0021877)	8	1	.06	+	17.16	6.32E-02	1.00E00
gonadal mesoderm development (GO:0007506)	8	1	.06	+	17.16	6.32E-02	1.00E00
trachea cartilage development (GO:0060534)	8	1	.06	+	17.16	6.32E-02	1.00E00
thyroid gland development (GO:0030878)	25	3	.18	+	16.48	1.06E-03	1.00E00
viral budding (GO:0046755)	25	3	.18	+	16.48	1.06E-03	1.00E00
DNA integration (GO:0015074)	17	2	.12	+	16.15	8.19E-03	1.00E00
lung saccule development (GO:0060430)	9	1	.07	+	15.26	7.00E-02	1.00E00
negative regulation of erythrocyte differentiation (GO:0045647)	9	1	.07	+	15.26	7.00E-02	1.00E00
G protein-coupled adenosine receptor signaling pathway (GO:0001973)	9	1	.07	+	15.26	7.00E-02	1.00E00
pons development (GO:0021548)	9	1	.07	+	15.26	7.00E-02	1.00E00
otic vesicle morphogenesis (GO:0071600)	9	1	.07	+	15.26	7.00E-02	1.00E00
establishment of T cell polarity (GO:0001768)	9	1	.07	+	15.26	7.00E-02	1.00E00
inhibitory postsynaptic potential (GO:0060080)	9	1	.07	+	15.26	7.00E-02	1.00E00
positive regulation of glutamate secretion (GO:0014049)	9	1	.07	+	15.26	7.00E-02	1.00E00
modulation of molecular function in other organism involved in symbiotic interaction (GO:0052205)	9	1	.07	+	15.26	7.00E-02	1.00E00
postsynaptic endocytosis (GO:0140239)	9	1	.07	+	15.26	7.00E-02	1.00E00
neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	9	1	.07	+	15.26	7.00E-02	1.00E00
translocation of molecules into host (GO:0044417)	9	1	.07	+	15.26	7.00E-02	1.00E00
2-oxoglutarate metabolic process (GO:0006103)	18	2	.13	+	15.26	9.06E-03	1.00E00
modulation of molecular function in other organism (GO:0044359)	9	1	.07	+	15.26	7.00E-02	1.00E00
embryonic neurocranium morphogenesis (GO:0048702)	9	1	.07	+	15.26	7.00E-02	1.00E00
positive regulation of synapse maturation (GO:0090129)	9	1	.07	+	15.26	7.00E-02	1.00E00
postsynaptic neurotransmitter receptor internalization (GO:0098884)	9	1	.07	+	15.26	7.00E-02	1.00E00
negative regulation of macrophage migration (GO:1905522)	9	1	.07	+	15.26	7.00E-02	1.00E00
mesendoderm development (GO:0048382)	9	1	.07	+	15.26	7.00E-02	1.00E00
response to water (GO:0009415)	18	2	.13	+	15.26	9.06E-03	1.00E00
folic acid-containing compound biosynthetic process (GO:0009396)	9	1	.07	+	15.26	7.00E-02	1.00E00
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	9	1	.07	+	15.26	7.00E-02	1.00E00
regulation of DNA-directed DNA polymerase activity (GO:1900262)	9	1	.07	+	15.26	7.00E-02	1.00E00
G protein-coupled purinergic receptor signaling pathway (GO:0035588)	9	1	.07	+	15.26	7.00E-02	1.00E00
ubiquitin recycling (GO:0010992)	9	1	.07	+	15.26	7.00E-02	1.00E00
zymogen inhibition (GO:0097341)	9	1	.07	+	15.26	7.00E-02	1.00E00
lung secretory cell differentiation (GO:0061140)	9	1	.07	+	15.26	7.00E-02	1.00E00
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	29	3	.21	+	14.20	1.58E-03	1.00E00
bronchus development (GO:0060433)	10	1	.07	+	13.73	7.67E-02	1.00E00
negative regulation of osteoblast proliferation (GO:0033689)	10	1	.07	+	13.73	7.67E-02	1.00E00
Notch receptor processing (GO:0007220)	10	1	.07	+	13.73	7.67E-02	1.00E00
regulation of meiotic cell cycle phase transition (GO:1901993)	10	1	.07	+	13.73	7.67E-02	1.00E00
establishment of lymphocyte polarity (GO:0001767)	10	1	.07	+	13.73	7.67E-02	1.00E00
regulation of apoptotic cell clearance (GO:2000425)	10	1	.07	+	13.73	7.67E-02	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	30	3	.22	+	13.73	1.72E-03	1.00E00
prostaglandin biosynthetic process (GO:0001516)	20	2	.15	+	13.73	1.09E-02	1.00E00
regulation of interleukin-18 production (GO:0032661)	10	1	.07	+	13.73	7.67E-02	1.00E00
UTP biosynthetic process (GO:0006228)	10	1	.07	+	13.73	7.67E-02	1.00E00
endoplasmic reticulum localization (GO:0051643)	10	1	.07	+	13.73	7.67E-02	1.00E00
positive regulation of synaptic plasticity (GO:0031915)	10	1	.07	+	13.73	7.67E-02	1.00E00
ESCRT III complex disassembly (GO:1904903)	10	1	.07	+	13.73	7.67E-02	1.00E00
ESCRT complex disassembly (GO:1904896)	10	1	.07	+	13.73	7.67E-02	1.00E00
synaptic vesicle budding (GO:0070142)	10	1	.07	+	13.73	7.67E-02	1.00E00
response to water deprivation (GO:0009414)	10	1	.07	+	13.73	7.67E-02	1.00E00
amyloid-beta metabolic process (GO:0050435)	20	2	.15	+	13.73	1.09E-02	1.00E00
